"","intHVSID","intVID","strVName","strVAlias","strGroupName","dtTime","dtTimeFix","dblLat","dblLon","dblAlt","dblSpeed","dblHeading","strHeading","strLocation","strLMGFLocation","intLocationType","strDescription","strVStatus","tintGPSStatus","tintDOP","tintFixStatus","tintUnitStatus","year","month","day","hour","minute","second"
"1",8550064,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:28:48.000",2016-06-03 05:28:49,5314307.74364917,-8474577.14232261,0.0013895,0.4250274,67,"NE","101 DIANA AVE & THAYER ST                         ","                         ",2,"    Accessory On",14,3,9,0,0,2016,6,3,5,28,49
"2",8550209,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:30:31.000",2016-06-03 05:30:32,5314307.2869041,-8474583.26489656,0.0014605,0,178,"S","101 DIANA AVE & THAYER ST                         ","                         ",2,"    Accessory On",14,3,9,0,0,2016,6,3,5,30,32
"3",8550362,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:32:05.000",2016-06-03 05:32:06,5314268.53980587,-8474585.03487501,0.0014625,0.044739727,26,"NE","101 DIANA AVE & THAYER ST                         ","                         ",2,"    Accessory On",14,3,12,0,0,2016,6,3,5,32,6
"4",8550602,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:34:34.000",2016-06-03 05:34:35,5314209.66583935,-8474574.23687781,0.001519,0.044739727,183,"S","111 DIANA AVE                                     ","                         ",2,"    Accessory On",14,3,9,0,0,2016,6,3,5,34,35
"5",8550670,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:35:19.000",2016-06-03 05:35:20,5314202.99743824,-8474573.79159935,0.0013644,0.044739727,183,"S","111 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,35,20
"6",8550733,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:35:58.000",2016-06-03 05:35:59,5314202.09918387,-8474569.68390876,0.0014061,0.044739727,101,"E","111 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,35,59
"7",8550757,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:36:23.000",2016-06-03 05:36:24,5314205.67697782,-8474574.35932908,0.0013723,0.11184932,15,"N","111 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,10,2,0,2016,6,3,5,36,24
"8",8550836,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:37:08.000",2016-06-03 05:37:09,5314204.41333137,-8474571.18672249,0.0013598,0,176,"S","111 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,37,9
"9",8550893,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:37:45.000",2016-06-03 05:37:45,5314197.63836135,-8474573.101418,0.0014291,0,157,"SE","111 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,37,45
"10",8550949,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:38:26.000",2016-06-03 05:38:26,5314198.73453577,-8474576.18496895,0.001473,0.044739727,177,"S","111 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,38,26
"11",8551066,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:39:50.000",2016-06-03 05:39:51,5314164.22032307,-8474574.82686891,0.0014547,0.11184932,279,"W","115 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,39,51
"12",8551249,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:41:42.000",2016-06-03 05:41:43,5314109.64032161,-8474575.38346368,0.0013898,0.044739727,182,"S","124 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,41,43
"13",8551328,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:42:27.000",2016-06-03 05:42:28,5314102.22599194,-8474571.57633547,0.0015713,0,161,"S","127 DIANA AVE & JEAN ST                           ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,42,28
"14",8551399,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:43:14.000",2016-06-03 05:43:15,5314100.09456349,-8474571.65425903,0.0013782,0,161,"S","127 DIANA AVE & JEAN ST                           ","                         ",2,"    Accessory On",14,4,10,2,0,2016,6,3,5,43,15
"15",8551482,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:44:08.000",2016-06-03 05:44:08,5314104.76848208,-8474574.24800425,0.0014213,0,1,"N","124 DIANA AVE                                     ","                         ",2,"    Accessory On",14,4,9,2,0,2016,6,3,5,44,8
"16",8551512,120,"DP1             ",4641432008,"STREET REPAIR","2016-06-03 05:44:26.000",2016-06-03 05:44:26,5314105.75807433,-8474573.29065638,0.0013808,0.044739727,32,"NE","127 DIANA AVE & JEAN ST                           ","                         ",2,"    Accessory On",1,4,9,2,0,2016,6,3,5,44,26
