"","Street.Name","From","To","Block","Ward","Overall","Crack","Patch","Length","Width","Date.R8d","DLO","P","O.L","Flush_Oil","Class","Pvmt"
"1","Aberdeen Terr.","Burnet","Caleb","100","5",6,3,4,530,22,"4/14","1988","",NA,"O","Local","Base and Curbs"
"2","Aberdeen Terr.","Caleb","Glencove","200","5",6,3,5,675,24,"4/14","2001","1988",NA,"O","Local","Base and Curbs"
"3","Academy Green, E","Seneca Tnpk","dead end","100","13",5,2,4,779,14,"4/15","1980","",NA,"O","Local","Base and Curbs"
"4","Academy Green,W","Seneca Tnpk","Academy St","100","13",4,2,2,714,25,"4/15","1996","",NA,"O","Local","Base and Curbs"
"5","Academy Green,W","Academy St","dead end","200","13",6,3,4,60,12,"4/15","2004","1996",NA,"O","Local","Base and Curbs"
"6","Academy Place","Chaffee","Cossitt","100","13",6,4,2,588,28,"4/15","1980","",NA,"O","Local","Base and Curbs"
"7","Academy Place","Stacy Pl","Brooklea Dr.","200","13",7,3,4,432,28,"4/15","1980","",NA,"O","Local","Base and Curbs"
"8","Academy Place","Cossitt","Stacy Pl.","200","13",6,3,4,525,28,"4/15","1980","",NA,"O","Local","Base and Curbs"
"9","Academy Place","Brooklea Dr.","Norman Av.","300","13",7,3,5,430,28,"4/15","1980","",NA,"O","Local","Base and Curbs"
"10","Academy Place","Norman Av.","Crafton","400","13",6,3,3,294,28,"4/15","1980","",NA,"O","Local","Base and Curbs"
"11","Academy Place","Crafton","dead end","500","13",4,2,3,195,15,"4/15","1980","",NA,"O","Local","Base and Curbs"
"12","Academy St.","Valley Dr.","McDougal Pl.","100","13",8,4,4,325,25,"4/15","1996","",NA,"O","Local","Base and Curbs"
"13","Academy St.","McDougal Pl.","Academy","200","13",7,4,4,295,25,"4/15","1980","",NA,"O","Local","Base and Curbs"
"14","Ackerman Ave.","Clarendon","Euclid","700","16",4,2,2,645,27,"4/14","1998","",NA,"F","Local","No Base 3 Asphalt"
"15","Ackerman Ave.","Euclid","Stratford","800","16",3,2,1,851,27,"4/14","1992","",NA,"F","Local","No Base 3 Asphalt"
"16","Ackerman Ave.","Stratford","Kensington","900","16",4,3,2,792,27,"4/14","1992","",NA,"F","Local","No Base 3 Asphalt"
"17","Ackerman Ave.","Kensington","Broad","1000","16",4,2,2,675,27,"4/14","1992","",NA,"F","Local","No Base 3 Asphalt"
"18","Acorn Path","Comstock","Circle Rd.","100","16",5,3,4,250,16,"4/14","2001","",NA,"O","Local","Base and Curbs"
"19","Acorn Path","Berkeley","dead end","100","16",6,3,5,410,16,"4/14","1980","",NA,"O","Local","Base and Curbs"
"20","Adams St., E.","Salina","Warren","100","15",10,5,5,176,64,"6/15","2015","2000",NA,"F","Local","No Base 3 Asphalt"
"21","Adams St., E.","Warren","Montgomery","200","15",10,5,5,557,64,"6/15","2015","2000",NA,"F","Local","No Base 3 Asphalt"
"22","Adams St., E.","Montgomery","S. State","300","15",10,5,5,358,64,"6/15","2015","2000",NA,"F","Local","No Base 3 Asphalt"
"23","Adams St., E.","S. State","Townsend","400","15",10,5,5,469,64,"6/15","2015","2000",NA,"F","Local","No Base 3 Asphalt"
"24","Adams St., E.","Townsend","McBride","500","15",10,5,5,469,64,"6/15","2015","2000",NA,"F","Local","No Base 3 Asphalt"
"25","Adams St., E.","McBride","Almond","600","15",10,5,5,528,64,"6/15","2015","2000",NA,"F","Minor Arterial","No Base 3 Asphalt"
"26","Adams St., E.","Almond","C-D Road","700","15",10,5,5,411,30,"6/15","2015","2002",NA,"F","Minor Arterial","No Base 3 Asphalt"
"27","Adams St., E.","C-D Road","Irving","800","15",10,5,5,763,30,"6/15","2015","2002",NA,"F","Minor Arterial","No Base 3 Asphalt"
"28","Adams St., E.","Irving","Crouse","900","16",6,3,3,323,30,"4/14","1998","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"29","Adams St., E.","Crouse","University Av.","1000","16",6,3,3,616,30,"4/14","1998","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"30","Adams St., E.","University Av.","Walnut","1100","16",4,3,1,616,30,"4/14","1998","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"31","Adams St., E.","Walnut","Comstock","1200","16",3,2,1,499,28,"4/14","2002","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"32","Adams St., E.","Comstock","Ostrom","1300","16",3,2,2,440,28,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"33","Adams St., W.","Salina","Clinton","100","9",8,3,5,352,64,"4/14","2000","",NA,"F","Local","No Base 3 Asphalt"
"34","Adams St., W.","Clinton","Onondaga/Oneida","200","9",6,3,3,587,56,"4/14","2000","",NA,"F","Local","No Base 3 Asphalt"
"35","Ainsley Dr.","E. Brighton","Ball Cir.","100","14",6,3,2,411,26,"5/14","1980","",NA,"F","Collector","Base and Curbs"
"36","Ainsley Dr.","Ball Cir.","Game Rd","200","14",5,3,3,293,26,"5/14","1980","",NA,"O","Collector","Base and Curbs"
"37","Ainsley Dr.","Game Rd","Jamesville Rd.","300","14",4,2,2,1877,26,"5/14","1980","",NA,"O","Collector","Base and Curbs"
"38","Alanson Rd.","Crossett/Robineau","Twin Hills","100","12",5,2,5,880,18,"3/15","2004","",NA,"F","Local","No Base 3 Asphalt"
"39","Alanson Rd.","Twin Hills","Stinard","200","12",6,3,5,1877,24,"3/14","1986","",NA,"O","Local","Base and Curbs"
"40","Albert Rd","Salt Springs","Phillips Rd.","100","17",4,2,4,327,27,"5/14","1980","",NA,"O","Local","Base and Curbs"
"41","Albert Rd.","Phillips Rd.","Demong Dr.","200","17",5,2,4,469,27,"5/14","1980","",NA,"O","Local","Base and Curbs"
"42","Albert Rd.","E. Genesee","dead end","300","17",4,2,3,787,29,"5/14","1980","",NA,"O","Local","Base and Curbs"
"43","Alden St.","Thurber","Vincent","100","19",5,2,3,792,26,"5/14","1989","",NA,"O","Local","Base and Curbs"
"44","Alexander Ave.","Cortland","W. Castle","100","18",2,1,1,686,27,"5/14","1980","",NA,"F","Local","No Base Full Asphalt"
"45","Allen St.","Fayette","Lexington","200","17",4,2,3,411,27,"5/14","2002","",NA,"F","Local","No Base Full Asphalt"
"46","Allen St.","Lexington","Genesee","300","17",3,2,3,616,27,"5/14","2002","",NA,"F","Local","No Base Full Asphalt"
"47","Allen St.","Genesee","Harvard","400","17",4,2,2,733,27,"5/14","2002","",NA,"F","Local","No Base Full Asphalt"
"48","Allen St.","Genesee","Harvard","500","17",4,2,3,763,27,"5/14","2002","",NA,"F","Local","No Base Full Asphalt"
"49","Allen St.","Harvard","Clarke","600","17",3,2,2,1027,27,"5/14","2002","",NA,"F","Local","No Base Full Asphalt"
"50","Allen St.","Clarke","Euclid","700","17",3,2,3,792,27,"5/14","2002","",NA,"F","Local","No Base Full Asphalt"
"51","Alliance Bank Pkwy","Park St.","Farmers' Mkt Pl","100","1",6,3,4,1528,52,"4/15","1997","",NA,"F","Local","No Base Full Asphalt"
"52","Alliance Bank Pkwy","Farmers' Mkt","Tex Simone Dr.","200","1",6,3,5,424,40,"4/15","1997","",NA,"F","Local","No Base Full Asphalt"
"53","Alliance Bank Pkwy","Farmer's Mkt Pl.","Tex Simone Dr.","300","1",6,3,5,70,24,"4/15","1980","",NA,"F","Local","Base and Curbs"
"54","Almond St","Erie Blvd.","Water","100","6",5,3,2,150,54,"4/14","1993","",NA,"F","Local","No Base 3 Asphalt"
"55","Almond St.","Water","Washington","200","15",4,3,2,323,54,"4/14","1993","",NA,"F","Local","No Base Full Asphalt"
"56","Almond St.","Washington","Fayette","300","15",6,3,3,352,54,"4/14","1993","",NA,"F","Local","No Base Full Asphalt"
"57","Almond St.","Fayette","Genesee","400","15",6,3,3,440,54,"4/14","1993","",NA,"F","Local","No Base Full Asphalt"
"58","Almond St.","Genesee","Cedar","500","15",6,4,2,411,54,"5/15","1993","",NA,"F","Local","No Base Full Asphalt"
"59","Almond St.","Cedar","Madison","600","15",6,4,3,264,54,"5/15","1993","",NA,"F","Local","No Base Full Asphalt"
"60","Almond St.","Madison","Harrison","700","15",6,4,2,411,54,"5/15","1993","",NA,"F","Local","No Base Full Asphalt"
"61","Almond St.","Harrison","Adams","800","15",7,4,3,587,54,"4/14","1993","",NA,"F","Local","No Base Full Asphalt"
"62","Almond St.","Adams","Jackson","900","15",8,4,4,880,40,"4/14","2005","",NA,"F","Local","No Base Full Asphalt"
"63","Almond St.","Jackson","Taylor","1000","15",8,4,4,279,40,"4/14","2005","",NA,"F","Local","No Base Full Asphalt"
"64","Almond St.","Taylor","Burt","1100","15",8,4,4,381,40,"4/14","2002","",NA,"F","Local","No Base Full Asphalt"
"65","Almond St.","Burt","Renwick","1200","15",7,3,5,411,40,"4/14","2002","",NA,"F","Local","No Base Full Asphalt"
"66","Alton St.","Rockwood","Westwood","100","11",6,3,3,1050,25,"4/14","2002","",NA,"O","Local","Base and Curbs"
"67","Alton St.","Westwood","C.L.","200","11",6,3,5,235,25,"4/14","2002","",NA,"O","Local","Base and Curbs"
"68","Alvord St., N.","Pond","Kirkpatrick","700","1",7,3,5,1027,28,"4/15","2007","",NA,"F","Local","No Base 3 Asphalt"
"69","Alvord St., N.","Kirkpatrick","Danforth","800","1",8,5,4,528,28,"4/15","2007","",NA,"F","Local","No Base 3 Asphalt"
"70","Alvord St., N.","Danforth","Court/Salina","900","1",6,3,2,411,28,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"71","Alvord St., S.","Beecher","Seward","100","6",5,2,3,352,32,"4/14","1987","",NA,"F","Local","No Base 3 Asphalt"
"72","Alvord St., S.","Seward","Laurel","200","6",5,2,3,323,32,"4/14","1987","",NA,"F","Local","No Base 3 Asphalt"
"73","Alvord St., S.","Laurel","Butternut","300","6",5,3,2,364,32,"4/14","1987","",NA,"F","Local","No Base 3 Asphalt"
"74","Alvord St., S.","Butternut","John","400","3",4,2,2,704,32,"4/15","1987","",NA,"F","Local","No Base 3 Asphalt"
"75","Ames Ave.","Seneca Tnpk.","Kimber","100","13",6,3,3,323,26,"6/14","1980","",NA,"O","Local","Base and Curbs"
"76","Ames Ave.","Kimber","Englewood","200","13",6,3,4,205,26,"6/14","1980","",NA,"O","Local","Base and Curbs"
"77","Amherst Ave.","S. Salina","S. State","100","19",7,4,3,557,25,"5/14","2005","",NA,"F","Local","No Base Full Asphalt"
"78","Amherst Ave.","S. State","dead end","200","19",6,4,3,350,25,"5/14","2005","",NA,"F","Local","No Base Full Asphalt"
"79","Amidon Dr.","S. Salina","school","100","14",4,3,1,250,27,"6/15","1994","",NA,"F","Local","No Base Full Asphalt"
"80","Amy St.","Seymour","Delaware","100","8",8,4,4,792,27,"4/15","1994","",NA,"O","Local","Base and Curbs"
"81","Anderson Ave.","S. Salina","dead end","100","14",6,3,4,1150,25,"5/14","1999","",NA,"O","Local","Base and Curbs"
"82","Andover Rd","Lancaster","Buckingham","100","19",6,3,5,323,21,"5/14","1980","",NA,"O","Local","Base and Curbs"
"83","Andover Rd.","Buckingham","Kensington","200","19",6,3,5,352,21,"5/14","1980","",NA,"O","Local","Base and Curbs"
"84","Andover Rd.","Kensington","dead end","300","19",7,4,5,175,21,"5/14","1980","",NA,"O","Local","Base and Curbs"
"85","Anneta St.","Craddock","Summit","100","13",4,2,3,792,21,"6/14","1980","",NA,"F","Local","No Base Full Asphalt"
"86","Apple St.","d. e. @ creek","Sackett","200","2",6,3,3,764,27,"4/14","1999","",NA,"F","Local","No Base 3 Asphalt"
"87","Apple St.","Sackett","Lakeview","300","2",5,4,2,215,18,"4/15","2002","",NA,"O","Local","Base and Curbs"
"88","Arcadia Ave.","Pleasantview","Wainwright","100","3",4,2,4,546,18,"4/15","2002","1989",NA,"O","Local","Base and Curbs"
"89","Arch St.","Burnet","Caleb","100","5",6,2,4,352,18,"4/15","2002","1989",NA,"O","Local","Base and Curbs"
"90","Arch St.","Caleb","Sunnycrest","200","5",6,3,4,845,28,"4/14","1999","",NA,"O","Local","Base and Curbs"
"91","Archer Rd.","Bellevue","Glenwood","100","11",7,3,5,323,28,"3/14","2001","",NA,"O","Local","Base and Curbs"
"92","Arden Dr.","Stinard","S. Geddes","100","12",6,3,3,323,28,"4/14","2003","",NA,"O","Local","Base and Curbs"
"93","Arden Dr.","S. Geddes","Carlton","200","11",7,3,5,352,28,"4/14","2003","",NA,"O","Local","Base and Curbs"
"94","Arden Dr.","Carlton","Hancock","300","11",7,3,5,317,21,"4/14","1998","",NA,"O","Local","Base and Curbs"
"95","Ardmore Pl.","Wadsworth","dead end @ C.L.","100","1",4,2,4,247,26,"3/15","1985","",NA,"O","Local","Base and Curbs"
"96","Argonne Dr.","Hancock","Reed","100","11",4,3,3,175,22,"4/14","1989","",NA,"O","Local","Base and Curbs"
"97","Argyle Ave.","Wainwright","Pleasantview","100","3",3,2,3,360,25,"5/14","2005","1994",NA,"F","Local","Base and Curbs"
"98","Arlington Ave.","Onondaga Pk.","Colvin","100","12",4,2,2,500,36,"6/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"99","Arlington Ave.","Colvin","Charmouth","200","13",4,2,3,500,36,"6/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"100","Arlington Ave.","Charmouth","Glenwood","300","13",5,2,3,1330,27,"6/14","1995","",NA,"O","Local","Base and Curbs"
"101","Armstrong Pl.","South","Mitchell","100200","13",6,3,4,381,30,"5/15","1992","",NA,"O","Local","Base and Curbs"
"102","Arnett St.","North","Marlboro","100","4",6,3,4,264,30,"5/15","1992","",NA,"O","Local","Base and Curbs"
"103","Arnett St.","Marlboro","Fobes","200","4",6,3,4,763,26,"3/15","1980","",NA,"O","Local","Base and Curbs"
"104","Arnold Ave.","Thurber","Holmes","100","19",5,2,3,552,26,"3/15","2002","",NA,"O","Local","Base and Curbs"
"105","Arnold Ave.","Holmes","Thayer","200","19",6,3,4,270,26,"3/15","2002","",NA,"O","Local","Base and Curbs"
"106","Arnold Ave.","Thayer","Pine Grove","300","19",6,2,4,686,28,"4/15","1998","",NA,"O","Local","Base and Curbs"
"107","Arnts Pl.","Grant Blvd.","Burdick","100","1",7,3,4,495,18,"6/15","1996","",NA,"O","Local","Base and Curbs"
"108","Arsenal Dr.","Monticello","dead end","100","14",4,2,2,323,26,"4/14","1994","",NA,"O","Local","Base and Curbs"
"109","Arthur St.","Rowland","Elliot","200","11",6,3,2,381,26,"4/14","1994","",NA,"O","Local","No Base 3 Asphalt"
"110","Arthur St.","Elliot","Onondaga","300","11",6,3,2,411,26,"4/14","1994","",NA,"O","Local","Base and Curbs"
"111","Arthur St.","Onondaga","Bellevue","400","11",6,3,4,352,26,"4/14","1994","",NA,"O","Local","Base and Curbs"
"112","Arthur St.","Bellevue","Grant","500","11",6,3,3,323,26,"4/14","1994","",NA,"O","Local","Base and Curbs"
"113","Arthur St.","Grant","Laforte","600","11",6,3,4,352,26,"4/14","1994","",NA,"O","Local","Base and Curbs"
"114","Arthur St.","Laforte","Stolp","700","11",6,3,4,411,30,"4/15","1999","",NA,"F","Local","No Base 3 Asphalt"
"115","Ash St.","N. State/Rte.81","Prospect","100","3",5,3,3,381,30,"4/15","1999","",NA,"F","Local","No Base 3 Asphalt"
"116","Ash St.","Prospect","Townsend","200","3",4,2,2,411,30,"4/15","1999","",NA,"F","Local","No Base 3 Asphalt"
